labels,prob_0,prob_1
1.0,0.044848265030152934,0.9551517349698471
1.0,0.06966743621690064,0.9303325637830994
1.0,0.06947928327940645,0.9305207167205936
1.0,0.13930031777149166,0.8606996822285083
1.0,0.14957739430585293,0.8504226056941471
1.0,0.1144598929384435,0.8855401070615565
1.0,0.11226948289862515,0.8877305171013748
1.0,0.11278740391041542,0.8872125960895846
1.0,0.08559912654901691,0.9144008734509831
1.0,0.06087753993570011,0.9391224600642999
1.0,0.08582266443766007,0.9141773355623399
1.0,0.07844925409724157,0.9215507459027584
1.0,0.5444657523725306,0.4555342476274694
1.0,0.5422802067122554,0.4577197932877446
1.0,0.2780866824528936,0.7219133175471064
1.0,0.2687231880898391,0.7312768119101609
1.0,0.14160129577587566,0.8583987042241243
1.0,0.09713018793722672,0.9028698120627733
1.0,0.23576393566239628,0.7642360643376037
1.0,0.32260924653484724,0.6773907534651528
1.0,0.27348670582079404,0.726513294179206
1.0,0.037461164884245335,0.9625388351157547
1.0,0.02859169235391701,0.971408307646083
1.0,0.0247208144337826,0.9752791855662174
1.0,0.015969137608518147,0.9840308623914819
1.0,0.016269705883062535,0.9837302941169375
1.0,0.01800473989725193,0.9819952601027481
1.0,0.02037482566828941,0.9796251743317106
1.0,0.02472216355462109,0.9752778364453789
1.0,0.07799063470986634,0.9220093652901337
1.0,0.1229289352291193,0.8770710647708807
1.0,0.07400444160878483,0.9259955583912152
1.0,0.030673727159902575,0.9693262728400974
1.0,0.020736155920072052,0.979263844079928
1.0,0.017322176580640947,0.982677823419359
1.0,0.016492103406343994,0.983507896593656
1.0,0.018090365831207045,0.981909634168793
1.0,0.02016371189937116,0.9798362881006288
1.0,0.02226815453463371,0.9777318454653663
1.0,0.04619633958330438,0.9538036604166956
1.0,0.03611489448936245,0.9638851055106376
1.0,0.015786508889447326,0.9842134911105527
1.0,0.0195948386789212,0.9804051613210788
1.0,0.015794332151691237,0.9842056678483088
1.0,0.015201358768905826,0.9847986412310942
1.0,0.026846775976653303,0.9731532240233467
1.0,0.04740859191846525,0.9525914080815348
1.0,0.08221324309276035,0.9177867569072397
1.0,0.022888903836149277,0.9771110961638507
1.0,0.09553937100526455,0.9044606289947354
1.0,0.07796186848565734,0.9220381315143427
1.0,0.03336323210726766,0.9666367678927323
1.0,0.041422190444687756,0.9585778095553122
1.0,0.13338744337383468,0.8666125566261653
1.0,0.27010097583127124,0.7298990241687288
1.0,0.0360609854439663,0.9639390145560337
1.0,0.08019664536279825,0.9198033546372018
1.0,0.1557855340104336,0.8442144659895664
1.0,0.10801044078380417,0.8919895592161958
1.0,0.08008048715240279,0.9199195128475972
1.0,0.07848320772353834,0.9215167922764617
1.0,0.0668162239945167,0.9331837760054833
1.0,0.10686748041970795,0.893132519580292
1.0,0.12478918463501731,0.8752108153649827
1.0,0.11547606818050493,0.8845239318194951
1.0,0.09021194401176491,0.9097880559882351
1.0,0.022053377693800225,0.9779466223061998
1.0,0.02634118705603339,0.9736588129439666
1.0,0.021346846562647404,0.9786531534373526
1.0,0.018162714396922075,0.9818372856030779
1.0,0.016623650749309937,0.9833763492506901
1.0,0.013157105388511114,0.9868428946114889
1.0,0.018215699820958164,0.9817843001790418
1.0,0.035985446358995254,0.9640145536410047
1.0,0.01634529359788317,0.9836547064021168
1.0,0.03277409306248569,0.9672259069375143
1.0,0.035000119808039076,0.9649998801919609
1.0,0.11608475561217102,0.883915244387829
1.0,0.29836822229521687,0.7016317777047831
1.0,0.21261177638573403,0.787388223614266
1.0,0.1990864006271409,0.8009135993728591
1.0,0.15950415836817267,0.8404958416318273
1.0,0.11375192852778104,0.886248071472219
1.0,0.15137067957934303,0.848629320420657
1.0,0.39538984343315964,0.6046101565668404
1.0,0.1058453935296566,0.8941546064703434
1.0,0.04258932572994012,0.9574106742700599
1.0,0.0516463769096287,0.9483536230903713
1.0,0.02380141539516667,0.9761985846048333
1.0,0.02181881164348043,0.9781811883565196
1.0,0.016537283928630075,0.9834627160713699
1.0,0.019182411163048307,0.9808175888369517
1.0,0.014267948286665777,0.9857320517133342
1.0,0.11822171235165568,0.8817782876483443
1.0,0.11832987991223198,0.881670120087768
1.0,0.07681953510572936,0.9231804648942706
1.0,0.03674194176972234,0.9632580582302777
1.0,0.02472490744125111,0.9752750925587489
1.0,0.02524643988062225,0.9747535601193777
1.0,0.022489182071196545,0.9775108179288035
1.0,0.017361922600670487,0.9826380773993295
1.0,0.015500552590043903,0.9844994474099561
1.0,0.3532863216348441,0.6467136783651559
1.0,0.1297653943249466,0.8702346056750534
1.0,0.035007886641832964,0.964992113358167
1.0,0.03770694365498917,0.9622930563450108
1.0,0.021798257984526614,0.9782017420154734
1.0,0.018359976354125673,0.9816400236458743
1.0,0.01684777189930975,0.9831522281006903
1.0,0.014747395854447398,0.9852526041455526
1.0,0.015077806895916424,0.9849221931040836
1.0,0.1312362834070807,0.8687637165929193
1.0,0.07924598308876729,0.9207540169112327
1.0,0.13537684495673252,0.8646231550432675
1.0,0.19271592504685098,0.807284074953149
1.0,0.18174889520995696,0.818251104790043
1.0,0.30590587291516413,0.6940941270848359
1.0,0.2005577366224005,0.7994422633775995
1.0,0.09060725369797817,0.9093927463020218
1.0,0.05936522378337017,0.9406347762166298
1.0,0.0680769051320852,0.9319230948679148
1.0,0.06253313868989074,0.9374668613101093
1.0,0.026978453396662716,0.9730215466033373
1.0,0.021475218542998054,0.978524781457002
1.0,0.0309858695763624,0.9690141304236376
1.0,0.039380110044356265,0.9606198899556437
1.0,0.027482796930837772,0.9725172030691622
1.0,0.04562365141593561,0.9543763485840644
1.0,0.06715106257929637,0.9328489374207036
1.0,0.02391094069099642,0.9760890593090036
1.0,0.01904262830282355,0.9809573716971765
1.0,0.0152782709062661,0.9847217290937339
1.0,0.01371546629407272,0.9862845337059273
1.0,0.012064273295108063,0.9879357267048919
1.0,0.01174987692040852,0.9882501230795915
1.0,0.01124731017586722,0.9887526898241328
1.0,0.012393700467725366,0.9876062995322746
1.0,0.012220872517845649,0.9877791274821544
1.0,0.060094065952038256,0.9399059340479617
1.0,0.09466124937495912,0.9053387506250409
1.0,0.04914031491125925,0.9508596850887407
1.0,0.03087780790330308,0.9691221920966969
1.0,0.026881719682754768,0.9731182803172452
1.0,0.07450369123634504,0.925496308763655
1.0,0.08533620318422275,0.9146637968157773
1.0,0.13964992378176644,0.8603500762182336
1.0,0.17297761447157334,0.8270223855284267
1.0,0.4381842729345671,0.5618157270654329
1.0,0.27460226550298417,0.7253977344970158
1.0,0.08272400354696097,0.917275996453039
1.0,0.04282723048862158,0.9571727695113784
1.0,0.02097253341665073,0.9790274665833493
1.0,0.016348514277395143,0.9836514857226049
1.0,0.01619909352497695,0.983800906475023
1.0,0.01614566608199286,0.9838543339180071
1.0,0.021689863324533598,0.9783101366754664
1.0,0.03136719846613778,0.9686328015338622
1.0,0.027874833290862044,0.972125166709138
1.0,0.017093161743888308,0.9829068382561117
1.0,0.0170741894893367,0.9829258105106633
1.0,0.01962510850893373,0.9803748914910663
1.0,0.013793787524730039,0.98620621247527
1.0,0.011233239994948852,0.9887667600050511
1.0,0.012207904933534852,0.9877920950664651
1.0,0.01485925608347649,0.9851407439165235
1.0,0.028611956893559665,0.9713880431064403
1.0,0.01972872277825377,0.9802712772217462
1.0,0.019268751969701903,0.9807312480302981
1.0,0.030743153665178435,0.9692568463348216
1.0,0.03219657599430459,0.9678034240056954
1.0,0.08695768416970273,0.9130423158302973
1.0,0.11671807757938302,0.883281922420617
1.0,0.11485641820496284,0.8851435817950372
1.0,0.15663566909950977,0.8433643309004902
1.0,0.049430975839303004,0.950569024160697
1.0,0.028796246311427187,0.9712037536885728
1.0,0.019826472473682966,0.980173527526317
1.0,0.01659857241629048,0.9834014275837095
1.0,0.017929941223337575,0.9820700587766624
1.0,0.017980495247266637,0.9820195047527334
1.0,0.01844623880534657,0.9815537611946534
1.0,0.012702854187623625,0.9872971458123764
1.0,0.011981200837177353,0.9880187991628226
1.0,0.5605338257850276,0.4394661742149724
1.0,0.3483503863573374,0.6516496136426626
1.0,0.1409944578679868,0.8590055421320132
1.0,0.05042171363163073,0.9495782863683693
1.0,0.030419632537859176,0.9695803674621408
1.0,0.024015569880851073,0.9759844301191489
1.0,0.02231703027998444,0.9776829697200156
1.0,0.020271333691134985,0.979728666308865
1.0,0.017936883123885305,0.9820631168761147
1.0,0.03654511754138168,0.9634548824586183
1.0,0.02526802648005788,0.9747319735199421
1.0,0.04978136449673032,0.9502186355032697
1.0,0.05605862018976482,0.9439413798102352
1.0,0.03218308774830081,0.9678169122516992
1.0,0.033005073503211246,0.9669949264967888
1.0,0.033093022677787576,0.9669069773222124
1.0,0.03298895022920545,0.9670110497707946
1.0,0.02088906696736026,0.9791109330326397
1.0,0.509972558671153,0.49002744132884696
1.0,0.7140992077734669,0.28590079222653314
1.0,0.3845680511975661,0.6154319488024339
1.0,0.12041631954008458,0.8795836804599154
1.0,0.05567567664680351,0.9443243233531965
1.0,0.0421385240300014,0.9578614759699986
1.0,0.04728104858316251,0.9527189514168375
1.0,0.03311443986825591,0.9668855601317441
1.0,0.027681733770164252,0.9723182662298357
1.0,0.07121724868137491,0.9287827513186251
1.0,0.03524805567816158,0.9647519443218384
1.0,0.020758570311037228,0.9792414296889628
1.0,0.018910535055255195,0.9810894649447448
1.0,0.018928897479962292,0.9810711025200377
1.0,0.016243091322177494,0.9837569086778225
1.0,0.022241846280188105,0.9777581537198119
